22 motor configuration

1 2 673.1
3 4 673.1
2 4 1346.2
3 1 1346.2
2 4 h
1 4 1165.8434
3 2 1165.8434
4 5 1346.2
5 1 673.1
5 22 673.1
5 21 673.1
5 7 673.1
5 6 673.1
6 7 673.1
6 22 673.1
5 7 673.1
7 8 673.1
7 1 673.1
8 1 673.1
8 2 673.1
8 9 673.1
9 10 673.1
9 11 673.1
9 2 673.1
9 4 h
10 11 673.1
10 12 673.1
11 12 673.1
11 2 673.1
12 13 673.1
11 3 1346.2
13 14 673.1
11 13 673.1
3 14 673.1
3 15 673.1
14 5 v
14 5 2331.68
14 15 673.1
15 17 673.1
15 16 673.1
16 17 673.1
16 18 673.1
17 18 673.1
17 3 673.1
17 4 673.1
18 19 673.1
19 4 673.1
19 20 673.1
20 21 673.1
20 4 673.1
20 1 1346.2
20 8 h
21 20 673.1
21 5 673.1
21 22 673.1
19 2 h
9 4 h
8 11 v
20 17 v
2 14 1346.2
12 13 h
13 14 h
14 15 h
15 16 h
22 3 v
10 18 h
7 21 h
17 19 673.1
6 1 v
