Full 24 Motors

1 3 v
1 2 673.1
1 6 673.1
1 4 1346.2
1 8 v
2 3 673.1
3 4 673.1
4 5 673.1
2 5 h
2 5 1346.2
5 6 673.1
4 6 v
6 3 1346.2
6 7 673.1
7 8 673.1
7 1 673.1
7 24 673.1
7 23 673.1
7 9 673.1
7 1 673.1
7 16 v
7 16 2331.68
8 24 673.1
8 24 h
8 9 673.1
9 10 673.1
9 1 673.1
16 4 673.1
16 3 673.1
10 1 673.1
10 1 h
10 22 2019.3
22 6 673.1
10 2 673.1
11 10 673.1
11 2 673.1
11 13 673.1
11 12 673.1
12 13 673.1
12 14 673.1
13 14 673.1
13 15 673.1
13 3 673.1
13 2 673.1
14 15 673.1
15 3 673.1
15 16 673.1
16 17 673.1
17 4 673.1
17 19 673.1
17 18 673.1
18 19 673.1
18 20 673.1
18 14 h
18 14 2692.2
19 5 673.1
19 4 673.1
19 20 673.1
19 21 673.1
20 21 673.1
21 5 673.1
21 22 673.1
21 4 1165.84
22 6 673.1
22 5 673.1
22 23 673.1
23 6 673.1
23 7 673.1
23 24 673.1
24 6 v
24 6 1165.84

